gene_id	Bark1	Bark2	Bark3	Flower1	Flower2	Flower3	Fruit1	Fruit2	Fruit3	Leaf1	Leaf2	Leaf3	Root1	Root2	Root3	Wood1	Wood2	Wood3
Khe33594	0.12	0.08	0.09	0.24	0.14	0.16	2.53	2.48	2.56	7.75	7.38	6.97	6.21	3.91	3.8	0.11	0.03	0.15
Khe33596	11.26	12.37	10.87	4.52	4.76	4.88	0.65	0.56	0.92	1.26	1.42	1.43	7.78	4.19	3.87	32	32.55	31.51
Khe33600	1.09	1.14	1.34	1.95	2.38	2.22	3.07	3.28	3.18	1.39	1.21	0.94	0.53	0.49	0.53	0.79	0.51	0.83
Khe33927	0.15	0.08	0.18	0.84	0.6	0.74	0.2	0.14	0.15	0	0.03	0.03	4.48	13.74	14.72	0	0.03	0
Khe34690	0.39	0.37	0.48	6.76	7.65	7.24	2.11	2.61	2.17	5.59	4.96	4.78	5.82	3.11	3.16	0.03	0.05	0.02
Khe34693	1.1	0.95	1.07	4.86	5.4	5.21	2.24	2.5	2.22	10.73	12.36	10.64	8.38	12.13	12.35	0.54	0.63	0.7
Khe34694	0.56	0.49	0.88	4.51	4.6	4.65	5.04	6.31	5.62	1.66	1.85	1.85	2.28	3.47	3.08	0.82	0.86	1.14
Khe34696	0.03	0.07	0	0.12	0.06	0.2	0.14	0.17	0.26	0.01	0.04	0.03	1.13	1.5	1.37	0.11	0.04	0.08
Khe34698	0.03	0.06	0.14	0.14	0.05	0.14	0.66	0.4	0.41	0.41	0.45	0.36	13.1	14.8	15.34	0.11	0.03	0
Khe34701	0.07	0.11	0.05	0.18	0.14	0.08	0.24	0.32	0.33	0.09	0.2	0.08	0.84	0.25	0.27	0.4	0.42	0.21
Khe35012	0	0	0	8.6	8.28	8.2	0.41	0.44	0.33	0	0	0.03	0.27	3.1	3.45	0.03	0	0
Khe35053	0.45	0.29	0.43	11.3	9.82	10.04	28.79	28.32	27.37	1.41	0.99	1.09	0.43	0.07	0.07	0.08	0.03	0.05
Khe35096	24.29	19.31	25.83	1017.84	989.92	976.47	810.83	817.25	824.32	0.25	0.16	0.22	248.83	158.09	163.78	0.71	0.88	0.62
Khe35122	0	0	0.03	0	0	0	0	0	0	0	0.01	0.03	0.09	0.12	0.06	0	0	0
Khe35123	0	0	0	0.08	0	0	0	0	0	0	0	0	0.36	0.74	0.78	0	0.04	0
Khe35125	50.21	48.55	50.74	31.66	31.21	30.53	26.19	25.94	27.35	2.16	1.88	1.91	25.65	53.16	53.4	2.19	1.84	2.25
Khe35126	0.23	0.54	0.41	0.04	0.03	0.03	0	0.03	0	0.1	0.12	0.09	0.87	0.84	0.81	0.03	0	0
Khe35205	5.52	6.5	5.88	10.16	9.63	9.77	4.88	5.59	5.54	2.21	2.74	2.82	10.78	12.18	11.05	4.53	4.46	5.29
Khe35207	3.68	3.8	3.23	6.21	6.16	5.85	3.41	3.25	3.17	2.95	2.41	2.93	4.55	8.6	7.77	3	3.43	2.89
Khe35209	9.68	9.24	11.28	4.7	4.71	2.76	2.57	2.13	1.19	3.52	2.92	3.16	5.08	14.01	13.84	7.16	7.29	6.87
Khe35210	2.68	3.74	2	9.47	8.82	9.32	5.72	5.83	5.13	0.84	0.92	1.37	1.41	4.3	3.42	2.88	3.38	3.23
Khe35269	1.4	2.23	1.69	21.65	22.34	22.63	4.51	3.94	4.76	13.32	13.31	13.13	1.49	3.15	3.38	2.25	2.31	1.88
Khe36069	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.06	0.09	0	0	0
Khe36348	51.18	51.13	49.44	8.89	8.43	7.74	10.02	10	11.29	88.67	85.16	87.18	19.99	18.41	17.39	66.04	72.73	69.3
Khe36385	7.72	7.33	7.84	1.22	1.07	1.18	1.18	1.26	1.52	19.57	19.37	19.18	2.88	3.81	4.03	2.58	2.18	2.21
Khe36650	17.2	17.88	17.91	112.98	119.09	116.07	139.83	145.24	148.23	50.72	47.52	50.25	6.88	5.67	6.13	8.55	8.93	7.97
Khe36664	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.19	0	0	0.05
Khe36692	10.19	10.01	12.06	85.87	89.57	93.41	137.5	138.49	135.01	0.83	0.82	0.86	50.31	60.46	62.43	1.08	0.96	1.34
Khe36825	6.07	6.01	6.37	30.12	29.26	28.84	35.87	37.81	38.45	33.43	33.28	33.2	38	75.84	76.28	1.67	2.09	1.34
Khe36828	0	0	0	0.07	0	0.16	0.13	0.16	0.17	0	0	0	0	0	0	0.07	0	0
Khe36899	62.84	64.69	64.46	62.01	54.78	57.25	56.41	60.38	65.68	64.49	67.38	64.86	47.54	50.82	53.61	71.79	74.08	69.96
Khe37172	2.19	2.13	2.18	0.35	0.42	0.23	0.58	0.71	0.78	3.06	2.84	2.87	44.07	44.39	44.01	0.98	1.45	1.13
Khe37310	758.52	742.2	762.08	1161.09	1121.29	1142.29	970.06	955.31	955.61	238.9	239.65	246.3	146.52	317.89	324.15	418.67	405.68	404.14
Khe37386	11.62	11.22	10.45	1.56	1.4	1.7	0.55	0.35	0.69	36.33	32.29	34.71	10.49	3.68	3.86	8.65	7.88	7.36
Khe37388	8.5	8.33	8.83	0.47	0.58	0.69	0.29	0.2	0.18	18.27	21.24	23.01	3.98	3.48	3.43	15.97	17.28	18.67
Khe37390	1.56	3.08	3.32	0.16	0.23	0.08	0	0	0.14	2.33	1.52	4.21	0.26	0.29	0.46	1.73	1.66	1.33
Khe37391	32.49	33.71	30.19	1.5	2.21	2.45	0.74	0.63	0.94	58.03	51.51	56.42	15.69	8.06	9.1	41.41	43.23	39.25
Khe37394	6.75	6.35	6.21	0.52	0.61	0.26	0.3	0.35	0.14	12.27	12.25	13.12	4.84	3.93	3.51	8.71	9.21	8.75
Khe37487	157.09	154.36	154.23	4.07	3.65	4.44	9.27	9.14	9.77	6.69	6.44	6.62	111.57	137.74	134.55	26.34	28.56	28.39
Khe37491	102.69	107.5	105.18	0.35	0.3	0.2	0.34	0.41	0.26	0.17	0.16	0.27	23.67	6.23	6.24	53.17	51.9	51.14
Khe37628	0.22	0.35	0.11	1.62	1.53	1.62	1.77	2.36	1.84	0.05	0.07	0.06	0.91	1	0.66	0.02	0	0.02
Khe37793	0	0	0	0.1	0.06	0.03	0.09	0.14	0.13	0	0	0	0	0	0.07	0	0	0
